"id";"team_fifa_api_id";"team_api_id";"date";"buildUpPlaySpeed";"buildUpPlaySpeedClass";"buildUpPlayDribbling";"buildUpPlayDribblingClass";"buildUpPlayPassing";"buildUpPlayPassingClass";"buildUpPlayPositioningClass";"chanceCreationPassing";"chanceCreationPassingClass";"chanceCreationCrossing";"chanceCreationCrossingClass";"chanceCreationShooting";"chanceCreationShootingClass";"chanceCreationPositioningClass";"defencePressure";"defencePressureClass";"defenceAggression";"defenceAggressionClass";"defenceTeamWidth";"defenceTeamWidthClass";"defenceDefenderLineClass"
19.0;47.0;8564.0;"2013-09-20 00:00:00";48.0;"Balanced";49.0;"Little";54.0;"Mixed";"Organised";51.0;"Normal";53.0;"Normal";64.0;"Normal";"Free Form";48.0;"Medium";49.0;"Press";53.0;"Normal";"Cover"
20.0;47.0;8564.0;"2014-09-19 00:00:00";48.0;"Balanced";70.0;"Lots";52.0;"Mixed";"Organised";66.0;"Normal";36.0;"Normal";75.0;"Lots";"Organised";58.0;"Medium";57.0;"Press";49.0;"Normal";"Cover"
22.0;1901.0;10215.0;"2010-02-22 00:00:00";30.0;"Slow";49.0;"Little";30.0;"Short";"Organised";50.0;"Normal";60.0;"Normal";55.0;"Normal";"Organised";30.0;"Deep";30.0;"Contain";30.0;"Narrow";"Offside Trap"
23.0;1901.0;10215.0;"2011-02-22 00:00:00";30.0;"Slow";49.0;"Little";50.0;"Mixed";"Organised";50.0;"Normal";50.0;"Normal";55.0;"Normal";"Organised";30.0;"Deep";45.0;"Press";65.0;"Normal";"Cover"
24.0;1901.0;10215.0;"2012-02-22 00:00:00";45.0;"Balanced";49.0;"Little";44.0;"Mixed";"Organised";55.0;"Normal";57.0;"Normal";60.0;"Normal";"Organised";52.0;"Medium";38.0;"Press";61.0;"Normal";"Cover"
25.0;1901.0;10215.0;"2013-09-20 00:00:00";45.0;"Balanced";49.0;"Little";44.0;"Mixed";"Organised";55.0;"Normal";57.0;"Normal";60.0;"Normal";"Organised";52.0;"Medium";38.0;"Press";61.0;"Normal";"Cover"
26.0;1901.0;10215.0;"2014-09-19 00:00:00";52.0;"Balanced";53.0;"Normal";44.0;"Mixed";"Organised";55.0;"Normal";51.0;"Normal";60.0;"Normal";"Organised";39.0;"Medium";38.0;"Press";61.0;"Normal";"Cover"
28.0;650.0;10217.0;"2010-02-22 00:00:00";30.0;"Slow";49.0;"Little";35.0;"Mixed";"Organised";30.0;"Safe";50.0;"Normal";65.0;"Normal";"Organised";30.0;"Deep";30.0;"Contain";30.0;"Narrow";"Cover"
29.0;650.0;10217.0;"2011-02-22 00:00:00";53.0;"Balanced";49.0;"Little";53.0;"Mixed";"Organised";48.0;"Normal";67.0;"Lots";66.0;"Normal";"Organised";46.0;"Medium";62.0;"Press";65.0;"Normal";"Cover"
30.0;650.0;10217.0;"2012-02-22 00:00:00";38.0;"Balanced";49.0;"Little";44.0;"Mixed";"Organised";55.0;"Normal";60.0;"Normal";44.0;"Normal";"Organised";50.0;"Medium";58.0;"Press";62.0;"Normal";"Cover"
31.0;650.0;10217.0;"2013-09-20 00:00:00";38.0;"Balanced";49.0;"Little";47.0;"Mixed";"Organised";55.0;"Normal";55.0;"Normal";44.0;"Normal";"Organised";50.0;"Medium";58.0;"Press";52.0;"Normal";"Cover"
32.0;650.0;10217.0;"2014-09-19 00:00:00";58.0;"Balanced";47.0;"Normal";55.0;"Mixed";"Organised";55.0;"Normal";52.0;"Normal";44.0;"Normal";"Organised";57.0;"Medium";50.0;"Press";52.0;"Normal";"Cover"
34.0;245.0;8593.0;"2010-02-22 00:00:00";30.0;"Slow";49.0;"Little";30.0;"Short";"Free Form";50.0;"Normal";60.0;"Normal";70.0;"Lots";"Organised";30.0;"Deep";30.0;"Contain";30.0;"Narrow";"Cover"
35.0;245.0;8593.0;"2011-02-22 00:00:00";40.0;"Balanced";49.0;"Little";38.0;"Mixed";"Free Form";67.0;"Risky";65.0;"Normal";67.0;"Lots";"Organised";65.0;"Medium";57.0;"Press";63.0;"Normal";"Cover"
36.0;245.0;8593.0;"2012-02-22 00:00:00";31.0;"Slow";49.0;"Little";33.0;"Short";"Organised";39.0;"Normal";64.0;"Normal";46.0;"Normal";"Free Form";68.0;"High";65.0;"Press";60.0;"Normal";"Cover"
37.0;245.0;8593.0;"2013-09-20 00:00:00";35.0;"Balanced";49.0;"Little";33.0;"Short";"Free Form";39.0;"Normal";52.0;"Normal";46.0;"Normal";"Free Form";68.0;"High";65.0;"Press";50.0;"Normal";"Cover"
38.0;245.0;8593.0;"2014-09-19 00:00:00";40.0;"Balanced";40.0;"Normal";30.0;"Short";"Organised";51.0;"Normal";55.0;"Normal";39.0;"Normal";"Free Form";64.0;"Medium";53.0;"Press";64.0;"Normal";"Cover"
40.0;1861.0;9865.0;"2010-02-22 00:00:00";65.0;"Balanced";49.0;"Little";45.0;"Mixed";"Organised";45.0;"Normal";45.0;"Normal";70.0;"Lots";"Organised";70.0;"High";65.0;"Press";30.0;"Narrow";"Cover"
41.0;1861.0;9865.0;"2011-02-22 00:00:00";55.0;"Balanced";49.0;"Little";53.0;"Mixed";"Organised";57.0;"Normal";54.0;"Normal";69.0;"Lots";"Organised";58.0;"Medium";68.0;"Double";67.0;"Wide";"Cover"
42.0;1861.0;9865.0;"2012-02-22 00:00:00";42.0;"Balanced";49.0;"Little";70.0;"Long";"Organised";57.0;"Normal";54.0;"Normal";40.0;"Normal";"Organised";37.0;"Medium";53.0;"Press";45.0;"Normal";"Cover"
43.0;1861.0;9865.0;"2013-09-20 00:00:00";46.0;"Balanced";49.0;"Little";65.0;"Mixed";"Organised";57.0;"Normal";54.0;"Normal";40.0;"Normal";"Organised";37.0;"Medium";53.0;"Press";45.0;"Normal";"Cover"
44.0;1861.0;9865.0;"2014-09-19 00:00:00";46.0;"Balanced";41.0;"Normal";65.0;"Mixed";"Organised";57.0;"Normal";54.0;"Normal";40.0;"Normal";"Organised";37.0;"Medium";53.0;"Press";45.0;"Normal";"Cover"
46.0;229.0;8635.0;"2010-02-22 00:00:00";50.0;"Balanced";49.0;"Little";35.0;"Mixed";"Organised";70.0;"Risky";50.0;"Normal";60.0;"Normal";"Organised";70.0;"High";50.0;"Press";70.0;"Wide";"Cover"
47.0;229.0;8635.0;"2011-02-22 00:00:00";50.0;"Balanced";49.0;"Little";52.0;"Mixed";"Free Form";70.0;"Risky";50.0;"Normal";60.0;"Normal";"Organised";70.0;"High";50.0;"Press";70.0;"Wide";"Offside Trap"
48.0;229.0;8635.0;"2012-02-22 00:00:00";52.0;"Balanced";49.0;"Little";41.0;"Mixed";"Organised";53.0;"Normal";57.0;"Normal";47.0;"Normal";"Organised";45.0;"Medium";43.0;"Press";52.0;"Normal";"Cover"
49.0;229.0;8635.0;"2013-09-20 00:00:00";52.0;"Balanced";49.0;"Little";41.0;"Mixed";"Organised";68.0;"Risky";67.0;"Lots";47.0;"Normal";"Organised";60.0;"Medium";43.0;"Press";65.0;"Normal";"Cover"
50.0;229.0;8635.0;"2014-09-19 00:00:00";52.0;"Balanced";46.0;"Normal";51.0;"Mixed";"Organised";60.0;"Normal";53.0;"Normal";47.0;"Normal";"Organised";60.0;"Medium";50.0;"Press";65.0;"Normal";"Cover"
52.0;1530.0;8121.0;"2010-02-22 00:00:00";45.0;"Balanced";49.0;"Little";35.0;"Mixed";"Organised";35.0;"Normal";50.0;"Normal";60.0;"Normal";"Organised";30.0;"Deep";55.0;"Press";30.0;"Narrow";"Offside Trap"
53.0;1530.0;8121.0;"2011-02-22 00:00:00";65.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";50.0;"Normal";65.0;"Normal";65.0;"Normal";"Organised";45.0;"Medium";45.0;"Press";50.0;"Normal";"Cover"
54.0;1530.0;8121.0;"2012-02-22 00:00:00";50.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";52.0;"Normal";52.0;"Normal";48.0;"Normal";"Organised";44.0;"Medium";44.0;"Press";51.0;"Normal";"Cover"
55.0;1530.0;8121.0;"2013-09-20 00:00:00";50.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";52.0;"Normal";52.0;"Normal";48.0;"Normal";"Organised";44.0;"Medium";44.0;"Press";51.0;"Normal";"Cover"
56.0;1530.0;8121.0;"2014-09-19 00:00:00";48.0;"Balanced";61.0;"Normal";50.0;"Mixed";"Organised";40.0;"Normal";52.0;"Normal";48.0;"Normal";"Organised";44.0;"Medium";44.0;"Press";51.0;"Normal";"Cover"
58.0;111082.0;8322.0;"2010-02-22 00:00:00";30.0;"Slow";49.0;"Little";45.0;"Mixed";"Organised";45.0;"Normal";35.0;"Normal";70.0;"Lots";"Organised";65.0;"Medium";70.0;"Double";70.0;"Wide";"Cover"
59.0;111082.0;8322.0;"2011-02-22 00:00:00";46.0;"Balanced";49.0;"Little";37.0;"Mixed";"Organised";33.0;"Safe";62.0;"Normal";52.0;"Normal";"Organised";47.0;"Medium";48.0;"Press";45.0;"Normal";"Cover"
60.0;111989.0;108893.0;"2010-02-22 00:00:00";50.0;"Balanced";49.0;"Little";65.0;"Mixed";"Organised";30.0;"Safe";35.0;"Normal";30.0;"Little";"Organised";30.0;"Deep";50.0;"Press";35.0;"Normal";"Cover"
61.0;111989.0;108893.0;"2011-02-22 00:00:00";50.0;"Balanced";49.0;"Little";65.0;"Mixed";"Organised";35.0;"Normal";35.0;"Normal";35.0;"Normal";"Organised";25.0;"Deep";45.0;"Press";35.0;"Normal";"Cover"
62.0;111989.0;108893.0;"2012-02-22 00:00:00";23.0;"Slow";49.0;"Little";33.0;"Short";"Organised";49.0;"Normal";40.0;"Normal";43.0;"Normal";"Organised";44.0;"Medium";32.0;"Contain";36.0;"Normal";"Cover"
63.0;111989.0;108893.0;"2013-09-20 00:00:00";41.0;"Balanced";49.0;"Little";48.0;"Mixed";"Organised";58.0;"Normal";40.0;"Normal";43.0;"Normal";"Organised";39.0;"Medium";43.0;"Press";58.0;"Normal";"Cover"
64.0;111989.0;108893.0;"2014-09-19 00:00:00";39.0;"Balanced";48.0;"Normal";54.0;"Mixed";"Organised";49.0;"Normal";40.0;"Normal";43.0;"Normal";"Organised";44.0;"Medium";53.0;"Press";57.0;"Normal";"Cover"
66.0;159.0;9912.0;"2010-02-22 00:00:00";40.0;"Balanced";49.0;"Little";65.0;"Mixed";"Organised";45.0;"Normal";70.0;"Lots";50.0;"Normal";"Organised";45.0;"Medium";40.0;"Press";50.0;"Normal";"Cover"
67.0;159.0;9912.0;"2011-02-22 00:00:00";46.0;"Balanced";49.0;"Little";58.0;"Mixed";"Organised";45.0;"Normal";33.0;"Little";42.0;"Normal";"Organised";38.0;"Medium";48.0;"Press";50.0;"Normal";"Cover"
68.0;159.0;9912.0;"2014-09-19 00:00:00";62.0;"Balanced";49.0;"Normal";55.0;"Mixed";"Organised";56.0;"Normal";51.0;"Normal";52.0;"Normal";"Organised";36.0;"Medium";54.0;"Press";48.0;"Normal";"Cover"
69.0;112513.0;158085.0;"2014-09-19 00:00:00";69.0;"Fast";66.0;"Normal";39.0;"Mixed";"Organised";55.0;"Normal";59.0;"Normal";46.0;"Normal";"Organised";35.0;"Medium";37.0;"Press";37.0;"Normal";"Cover"
71.0;1.0;9825.0;"2010-02-22 00:00:00";66.0;"Balanced";49.0;"Little";30.0;"Short";"Free Form";30.0;"Safe";45.0;"Normal";35.0;"Normal";"Free Form";30.0;"Deep";40.0;"Press";50.0;"Normal";"Cover"
72.0;1.0;9825.0;"2011-02-22 00:00:00";75.0;"Fast";49.0;"Little";40.0;"Mixed";"Free Form";40.0;"Normal";45.0;"Normal";65.0;"Normal";"Free Form";50.0;"Medium";40.0;"Press";45.0;"Normal";"Cover"
73.0;1.0;9825.0;"2012-02-22 00:00:00";25.0;"Slow";49.0;"Little";32.0;"Short";"Organised";41.0;"Normal";34.0;"Normal";30.0;"Little";"Free Form";57.0;"Medium";57.0;"Press";52.0;"Normal";"Cover"
74.0;1.0;9825.0;"2013-09-20 00:00:00";30.0;"Slow";49.0;"Little";29.0;"Short";"Organised";41.0;"Normal";55.0;"Normal";39.0;"Normal";"Free Form";64.0;"Medium";54.0;"Press";52.0;"Normal";"Cover"
75.0;1.0;9825.0;"2014-09-19 00:00:00";59.0;"Balanced";51.0;"Normal";26.0;"Short";"Organised";28.0;"Safe";55.0;"Normal";64.0;"Normal";"Free Form";51.0;"Medium";44.0;"Press";52.0;"Normal";"Cover"
77.0;2.0;10252.0;"2010-02-22 00:00:00";70.0;"Fast";49.0;"Little";59.0;"Mixed";"Organised";65.0;"Normal";70.0;"Lots";50.0;"Normal";"Free Form";30.0;"Deep";70.0;"Double";30.0;"Narrow";"Cover"
78.0;2.0;10252.0;"2011-02-22 00:00:00";65.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";45.0;"Normal";55.0;"Normal";50.0;"Normal";"Organised";35.0;"Medium";45.0;"Press";65.0;"Normal";"Cover"
79.0;2.0;10252.0;"2012-02-22 00:00:00";67.0;"Fast";49.0;"Little";58.0;"Mixed";"Organised";44.0;"Normal";60.0;"Normal";56.0;"Normal";"Organised";43.0;"Medium";50.0;"Press";52.0;"Normal";"Cover"
80.0;2.0;10252.0;"2013-09-20 00:00:00";63.0;"Balanced";49.0;"Little";59.0;"Mixed";"Organised";52.0;"Normal";55.0;"Normal";34.0;"Normal";"Organised";39.0;"Medium";41.0;"Press";54.0;"Normal";"Cover"
81.0;2.0;10252.0;"2014-09-19 00:00:00";66.0;"Balanced";32.0;"Little";72.0;"Long";"Organised";63.0;"Normal";48.0;"Normal";56.0;"Normal";"Organised";39.0;"Medium";42.0;"Press";52.0;"Normal";"Cover"
83.0;39.0;8524.0;"2010-02-22 00:00:00";35.0;"Balanced";49.0;"Little";40.0;"Mixed";"Organised";35.0;"Normal";30.0;"Little";55.0;"Normal";"Organised";30.0;"Deep";30.0;"Contain";55.0;"Normal";"Offside Trap"
84.0;39.0;8524.0;"2011-02-22 00:00:00";65.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";50.0;"Normal";65.0;"Normal";55.0;"Normal";"Organised";45.0;"Medium";55.0;"Press";65.0;"Normal";"Cover"
85.0;39.0;8524.0;"2012-02-22 00:00:00";40.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";53.0;"Normal";47.0;"Normal";50.0;"Normal";"Organised";55.0;"Medium";42.0;"Press";50.0;"Normal";"Cover"
86.0;39.0;8524.0;"2013-09-20 00:00:00";64.0;"Balanced";49.0;"Little";36.0;"Mixed";"Organised";38.0;"Normal";49.0;"Normal";51.0;"Normal";"Free Form";54.0;"Medium";53.0;"Press";49.0;"Normal";"Cover"
87.0;39.0;8524.0;"2014-09-19 00:00:00";64.0;"Balanced";45.0;"Normal";37.0;"Mixed";"Organised";38.0;"Normal";49.0;"Normal";51.0;"Normal";"Organised";36.0;"Medium";66.0;"Press";49.0;"Normal";"Cover"
89.0;448.0;8315.0;"2010-02-22 00:00:00";60.0;"Balanced";49.0;"Little";45.0;"Mixed";"Organised";35.0;"Normal";70.0;"Lots";55.0;"Normal";"Organised";30.0;"Deep";70.0;"Double";35.0;"Normal";"Cover"
90.0;448.0;8315.0;"2011-02-22 00:00:00";70.0;"Fast";49.0;"Little";69.0;"Long";"Organised";55.0;"Normal";72.0;"Lots";57.0;"Normal";"Organised";48.0;"Medium";67.0;"Double";55.0;"Normal";"Cover"
91.0;448.0;8315.0;"2012-02-22 00:00:00";42.0;"Balanced";49.0;"Little";59.0;"Mixed";"Organised";36.0;"Normal";78.0;"Lots";59.0;"Normal";"Organised";37.0;"Medium";60.0;"Press";68.0;"Wide";"Cover"
92.0;448.0;8315.0;"2013-09-20 00:00:00";46.0;"Balanced";49.0;"Little";38.0;"Mixed";"Organised";52.0;"Normal";73.0;"Lots";37.0;"Normal";"Free Form";37.0;"Medium";60.0;"Press";68.0;"Wide";"Cover"
93.0;448.0;8315.0;"2014-09-19 00:00:00";46.0;"Balanced";41.0;"Normal";38.0;"Mixed";"Organised";52.0;"Normal";68.0;"Lots";37.0;"Normal";"Organised";37.0;"Medium";60.0;"Press";65.0;"Normal";"Cover"
95.0;240.0;9906.0;"2010-02-22 00:00:00";64.0;"Balanced";49.0;"Little";30.0;"Short";"Free Form";65.0;"Normal";50.0;"Normal";70.0;"Lots";"Free Form";70.0;"High";34.0;"Press";55.0;"Normal";"Offside Trap"
96.0;240.0;9906.0;"2011-02-22 00:00:00";57.0;"Balanced";49.0;"Little";54.0;"Mixed";"Organised";58.0;"Normal";69.0;"Lots";79.0;"Lots";"Organised";58.0;"Medium";48.0;"Press";54.0;"Normal";"Cover"
97.0;240.0;9906.0;"2012-02-22 00:00:00";47.0;"Balanced";49.0;"Little";51.0;"Mixed";"Organised";67.0;"Risky";63.0;"Normal";54.0;"Normal";"Organised";52.0;"Medium";37.0;"Press";55.0;"Normal";"Cover"
98.0;240.0;9906.0;"2013-09-20 00:00:00";47.0;"Balanced";49.0;"Little";51.0;"Mixed";"Organised";70.0;"Risky";65.0;"Normal";54.0;"Normal";"Organised";52.0;"Medium";37.0;"Press";55.0;"Normal";"Cover"
99.0;240.0;9906.0;"2014-09-19 00:00:00";47.0;"Balanced";52.0;"Normal";51.0;"Mixed";"Organised";67.0;"Risky";67.0;"Lots";54.0;"Normal";"Organised";52.0;"Medium";37.0;"Press";55.0;"Normal";"Cover"
101.0;100409.0;8406.0;"2010-02-22 00:00:00";45.0;"Balanced";49.0;"Little";45.0;"Mixed";"Organised";35.0;"Normal";70.0;"Lots";70.0;"Lots";"Organised";45.0;"Medium";55.0;"Press";45.0;"Normal";"Cover"
102.0;100409.0;8406.0;"2011-02-22 00:00:00";68.0;"Fast";49.0;"Little";40.0;"Mixed";"Organised";52.0;"Normal";64.0;"Normal";72.0;"Lots";"Organised";59.0;"Medium";49.0;"Press";42.0;"Normal";"Cover"
103.0;100409.0;8406.0;"2012-02-22 00:00:00";55.0;"Balanced";49.0;"Little";55.0;"Mixed";"Organised";49.0;"Normal";57.0;"Normal";55.0;"Normal";"Organised";47.0;"Medium";58.0;"Press";56.0;"Normal";"Cover"
104.0;100409.0;8406.0;"2013-09-20 00:00:00";40.0;"Balanced";49.0;"Little";55.0;"Mixed";"Organised";49.0;"Normal";72.0;"Lots";53.0;"Normal";"Organised";33.0;"Deep";43.0;"Press";52.0;"Normal";"Cover"
105.0;100409.0;8406.0;"2014-09-19 00:00:00";62.0;"Balanced";38.0;"Normal";69.0;"Long";"Organised";41.0;"Normal";63.0;"Normal";56.0;"Normal";"Organised";47.0;"Medium";55.0;"Press";52.0;"Normal";"Cover"
107.0;57.0;8583.0;"2010-02-22 00:00:00";30.0;"Slow";49.0;"Little";70.0;"Long";"Organised";35.0;"Normal";65.0;"Normal";35.0;"Normal";"Organised";30.0;"Deep";55.0;"Press";30.0;"Narrow";"Cover"
108.0;57.0;8583.0;"2011-02-22 00:00:00";35.0;"Balanced";49.0;"Little";65.0;"Mixed";"Organised";35.0;"Normal";65.0;"Normal";50.0;"Normal";"Organised";35.0;"Medium";45.0;"Press";65.0;"Normal";"Cover"
109.0;57.0;8583.0;"2012-02-22 00:00:00";64.0;"Balanced";49.0;"Little";49.0;"Mixed";"Organised";51.0;"Normal";63.0;"Normal";50.0;"Normal";"Organised";34.0;"Medium";45.0;"Press";36.0;"Normal";"Cover"
110.0;57.0;8583.0;"2013-09-20 00:00:00";64.0;"Balanced";49.0;"Little";49.0;"Mixed";"Organised";51.0;"Normal";63.0;"Normal";50.0;"Normal";"Organised";34.0;"Medium";45.0;"Press";41.0;"Normal";"Cover"
111.0;57.0;8583.0;"2014-09-19 00:00:00";64.0;"Balanced";55.0;"Normal";49.0;"Mixed";"Organised";51.0;"Normal";63.0;"Normal";50.0;"Normal";"Organised";34.0;"Medium";45.0;"Press";36.0;"Normal";"Cover"
113.0;1906.0;10229.0;"2010-02-22 00:00:00";55.0;"Balanced";49.0;"Little";45.0;"Mixed";"Organised";40.0;"Normal";30.0;"Little";60.0;"Normal";"Organised";30.0;"Deep";30.0;"Contain";50.0;"Normal";"Cover"
114.0;1906.0;10229.0;"2011-02-22 00:00:00";45.0;"Balanced";49.0;"Little";31.0;"Short";"Organised";45.0;"Normal";74.0;"Lots";66.0;"Normal";"Organised";60.0;"Medium";50.0;"Press";65.0;"Normal";"Cover"
115.0;1906.0;10229.0;"2012-02-22 00:00:00";46.0;"Balanced";49.0;"Little";36.0;"Mixed";"Organised";47.0;"Normal";48.0;"Normal";52.0;"Normal";"Organised";60.0;"Medium";65.0;"Press";59.0;"Normal";"Cover"
116.0;1906.0;10229.0;"2013-09-20 00:00:00";62.0;"Balanced";49.0;"Little";40.0;"Mixed";"Organised";67.0;"Risky";48.0;"Normal";52.0;"Normal";"Organised";50.0;"Medium";65.0;"Press";59.0;"Normal";"Cover"
117.0;1906.0;10229.0;"2014-09-19 00:00:00";52.0;"Balanced";38.0;"Normal";46.0;"Mixed";"Organised";60.0;"Normal";56.0;"Normal";52.0;"Normal";"Free Form";50.0;"Medium";61.0;"Press";55.0;"Normal";"Cover"
119.0;241.0;8634.0;"2010-02-22 00:00:00";42.0;"Balanced";49.0;"Little";30.0;"Short";"Free Form";65.0;"Normal";40.0;"Normal";70.0;"Lots";"Free Form";70.0;"High";30.0;"Contain";70.0;"Wide";"Offside Trap"
120.0;241.0;8634.0;"2011-02-22 00:00:00";43.0;"Balanced";49.0;"Little";34.0;"Mixed";"Free Form";59.0;"Normal";25.0;"Little";68.0;"Lots";"Free Form";67.0;"High";43.0;"Press";68.0;"Wide";"Cover"
121.0;241.0;8634.0;"2012-02-22 00:00:00";24.0;"Slow";49.0;"Little";25.0;"Short";"Free Form";37.0;"Normal";24.0;"Little";54.0;"Normal";"Free Form";66.0;"Medium";63.0;"Press";66.0;"Normal";"Cover"
122.0;241.0;8634.0;"2013-09-20 00:00:00";35.0;"Balanced";49.0;"Little";32.0;"Short";"Free Form";37.0;"Normal";31.0;"Little";35.0;"Normal";"Free Form";61.0;"Medium";63.0;"Press";65.0;"Normal";"Cover"
123.0;241.0;8634.0;"2014-09-19 00:00:00";35.0;"Balanced";35.0;"Normal";32.0;"Short";"Free Form";37.0;"Normal";31.0;"Little";35.0;"Normal";"Free Form";61.0;"Medium";63.0;"Press";65.0;"Normal";"Cover"
125.0;1848.0;9976.0;"2010-02-22 00:00:00";30.0;"Slow";49.0;"Little";30.0;"Short";"Free Form";30.0;"Safe";40.0;"Normal";65.0;"Normal";"Organised";40.0;"Medium";30.0;"Contain";45.0;"Normal";"Offside Trap"
126.0;1848.0;9976.0;"2011-02-22 00:00:00";65.0;"Balanced";49.0;"Little";35.0;"Mixed";"Free Form";65.0;"Normal";63.0;"Normal";65.0;"Normal";"Organised";55.0;"Medium";45.0;"Press";60.0;"Normal";"Offside Trap"
127.0;1848.0;9976.0;"2012-02-22 00:00:00";50.0;"Balanced";49.0;"Little";50.0;"Mixed";"Organised";50.0;"Normal";35.0;"Normal";50.0;"Normal";"Organised";45.0;"Medium";45.0;"Press";50.0;"Normal";"Cover"
128.0;1848.0;9976.0;"2013-09-20 00:00:00";55.0;"Balanced";49.0;"Little";57.0;"Mixed";"Organised";54.0;"Normal";44.0;"Normal";60.0;"Normal";"Organised";49.0;"Medium";51.0;"Press";61.0;"Normal";"Cover"
